"Product ID","Product Type",Code,Name,Brand,Description,"Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping",Warranty,Weight,Width,Height,Depth,"Allow Purchases","Product Visible","Product Availability","Product Inventoried","Stock Level","Low Stock Level","Date Added","Date Modified","Category Details",Images,"Page Title","META Keywords","META Description","Product Condition","Product URL","Redirect Old URL?"

138,P,751,"FasCat Cycling Kit",,"After the first round of FasCat clothing, our athletes agreed- more cheetah! Sure to make you faster, the new FasCat Cycling Kit looks sharp with subtle cheetah spots that warn other riders you could pounce at any time! Our friends at Panache Cyclewear made these top-of-the-line jerseys & bibs from light weight, super-wicking Italian stretch fabric. Smart details like a semi-locking full zipper, silicone grippers and a high density foam chamois will make this your favorite kit to wear!",0.00,0.00,0.00,149.00,0.00,Y,,0.0000,0.0000,0.0000,0.0000,Y,N,"FREE U.S. Shipping",N,0,0,31/10/2012,15/08/2013,"Category Name: Apparel, Category Path: Apparel","Product Image File: fascat_jersey_size_chart_2012__61774.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/a/066/fascat_jersey_size_chart_2012__61774.jpg|Product Image File: fascat_kit_back_2012__21881.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/k/884/fascat_kit_back_2012__21881.jpg|Product Image File: fascat_bibs_size_chart_2012__79076.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/t/991/fascat_bibs_size_chart_2012__79076.jpg|Product Image File: fascat_kit_front_2012__76784.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/x/762/fascat_kit_front_2012__76784.jpg","FasCat Cycling Kit Jersey","FasCat Cycling Kit Jersey","FasCat Cycling Kit Jersey",New,/fascat-cycling-kit/,

89,P,75,"ON SALE! FasCat Short Sleeve Jersey",,"After the first round of FasCat clothing, our athletes agreed- more cheetah! The Jersey looks sharp with subtle cheetah spots that warn other riders you could pounce at any time! Our friends at Panache Cyclewear made these top-of-the-line jerseys from a light weight, super-wicking Italian stretch fabric. Smart details like a semi-locking full zipper, silicone gripper and tagless collar make this jersey one you'll love to wear!",0.00,89.99,67.00,67.00,2.50,N,,2.0000,6.0000,6.0000,1.0000,Y,Y,"FREE U.S. Shipping",Y,21,0,06/04/2012,19/05/2014,"Category Name: Apparel, Category Path: Apparel|Category Name: On Sale!, Category Path: On Sale!","Product Image File: fascat_jersey_back_2012__52961.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/k/097/fascat_jersey_back_2012__52961.jpg|Product Image File: fascat_jersey_size_chart_2012__24664.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/s/072/fascat_jersey_size_chart_2012__24664.jpg|Product Image File: fascat_kit_front_2012__73441.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/j/685/fascat_kit_front_2012__73441.jpg|Product Image File: fascat_jersey_front_2012__11014.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/r/387/fascat_jersey_front_2012__11014.jpg","FasCat Cycling Kit Jersey","FasCat Cycling Kit Jersey","FasCat Cycling Kit Jersey",New,/on-sale-fascat-short-sleeve-jersey/,

90,P,76,"ON SALE! FasCat Cycling Bibs",,"After the first round of FasCat clothing, our athletes agreed- more cheetah! TheCycling Bibs looks sharp with subtle cheetah spots that warn other riders you could pounce at any time! Our friends at Panache Cyclewear made these top-of-the-line bibs from Power Lycra and lightweight, super-wicking Italian stretch fabric. Smart details like a high-density foam chamois, silicone grippers and a tagless design make these bibs ones you'll love to wear!",0.00,99.99,75.00,75.00,2.50,N,,2.0000,6.0000,10.0000,2.0000,Y,Y,"FREE U.S. Shipping",Y,2,0,06/04/2012,18/05/2014,"Category Name: Apparel, Category Path: Apparel|Category Name: On Sale!, Category Path: On Sale!","Product Image File: fascat_bibs_multi_view_2012__72611.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/q/962/fascat_bibs_multi_view_2012__72611.jpg|Product Image File: fascat_bibs_size_chart_2012__25853.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/j/150/fascat_bibs_size_chart_2012__25853.jpg|Product Image File: fascat_kit_front_2012__32612.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/p/319/fascat_kit_front_2012__32612.jpg|Product Image File: fascat_bibs_front_2012__63879.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/f/678/fascat_bibs_front_2012__63879.jpg","FasCat Cycling Kit Bibs","FasCat Cycling Kit Bibs","FasCat Cycling Kit Bibs",New,/on-sale-fascat-cycling-bibs/,

139,D,level1,"FasCat Coaching Level 1",,"Level 1 Coaching comes with an Associate Coach and weekly power data review. Coach-Athlete communication one time per month Recommended for the Athlete that is comfortable with having his or her power data reviewed once a week and is comfortable following the training calendar without any revisions. A tell-me-what-to-do-and-I&rsquo;ll-do-it type of athlete. Download our New Athlete Questionnaire to get started!",0.00,0.00,0.00,150.00,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,31/10/2012,07/12/2012,"Category Name: Coaching, Category Path: Coaching","Product Image File: fascat_coaching_details_2012_3__76399.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/l/587/fascat_coaching_details_2012_3__76399.jpg|Product Image File: fascat_coaches_cycling_center__05284.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/n/370/fascat_coaches_cycling_center__05284.jpg",,,,New,/fascat-coaching-level-1/,

140,D,level2,"FasCat Coaching Level 2",,"Level 2 Coaching includes an Associate Coach and daily power data review.  In-depth daily power data analysis and feedback Advanced training calendar design Extensive Coach-Athlete communication (at least 3-4 times per month) Recommended for the Athlete that wants their power data analyzed with feedback given in real time. In other words, your coach will analyze your Tuesday ride data before your workout Wednesday and give you on-the-fly adjustments and considerations for your Wednesday workout. The Level 2 athlete is good at following the calendar but may need timely revisions from their coach at the last minute due to unexpected schedule or weather changes. Additionally they may have more questions about their calendar and the rationale of the how, what, why & when to discuss with their coach. Download our New Athlete Questionnaire to get started!",0.00,0.00,0.00,225.00,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,31/10/2012,15/11/2012,"Category Name: Coaching, Category Path: Coaching","Product Image File: fascat_coaching_details_2012_3__81736.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/w/240/fascat_coaching_details_2012_3__81736.jpg|Product Image File: fascat_coaches_cycling_center__77645.jpg, Product Image URL: http://www.fascatpowermeters.com/product_images/a/191/fascat_coaches_cycling_center__77645.jpg",,,,New,/fascat-coaching-level-2/,
