Product ID,Product Type,Code,Name,Brand,Description,Cost Price,Retail Price,Sale Price,Calculated Price,Fixed Shipping Price,Free Shipping,Warranty,Weight,Width,Height,Depth,Allow Purchases,Product Visible,Product Availability,Product Inventoried,Stock Level,Low Stock Level,Date Added,Date Modified,Category Details,Images,Page Title,META Keywords,META Description,Product Condition,Product URL,Redirect Old URL?
138,P,751,FasCat Cycling Kit,,"After the first round of FasCat clothing, our athletes agreed- more cheetah! Sure to make you faster, the new FasCat Cycling Kit looks sharp with subtle cheetah spots that warn other riders you could pounce at any time! Our friends at Panache Cyclewear made these top-of-the-line jerseys & bibs from light weight, super-wicking Italian stretch fabric. Smart details like a semi-locking full zipper, silicone grippers and a high density foam chamois will make this your favorite kit to wear!",0,0,,149,0,Y,,0,0,0,0,Y,N,FREE U.S. Shipping,N,0,0,31/10/2012,15/08/2013,"Category Name: Apparel, Category Path: Apparel",http://www.fascatpowermeters.com/product_images/a/066/fascat_jersey_size_chart_2012__61774.jpg,FasCat Cycling Kit Jersey,FasCat Cycling Kit Jersey,FasCat Cycling Kit Jersey,New,/fascat-cycling-kit/,
89,P,75,ON SALE! FasCat Short Sleeve Jersey,,"After the first round of FasCat clothing, our athletes agreed- more cheetah! The Jersey looks sharp with subtle cheetah spots that warn other riders you could pounce at any time! Our friends at Panache Cyclewear made these top-of-the-line jerseys from a light weight, super-wicking Italian stretch fabric. Smart details like a semi-locking full zipper, silicone gripper and tagless collar make this jersey one you'll love to wear!",0,,67,89.99,2.5,N,,2,6,6,1,Y,Y,FREE U.S. Shipping,Y,21,0,6/4/12,19/05/2014,"Category Name: Apparel, Category Path: Apparel|Category Name: On Sale!, Category Path: On Sale!",http://www.fascatpowermeters.com/product_images/k/097/fascat_jersey_back_2012__52961.jpg,FasCat Cycling Kit Jersey,FasCat Cycling Kit Jersey,FasCat Cycling Kit Jersey,New,/on-sale-fascat-short-sleeve-jersey/,
90,P,76,ON SALE! FasCat Cycling Bibs,,"After the first round of FasCat clothing, our athletes agreed- more cheetah! TheCycling Bibs looks sharp with subtle cheetah spots that warn other riders you could pounce at any time! Our friends at Panache Cyclewear made these top-of-the-line bibs from Power Lycra and lightweight, super-wicking Italian stretch fabric. Smart details like a high-density foam chamois, silicone grippers and a tagless design make these bibs ones you'll love to wear!",0,,75,99.99,2.5,N,,2,6,10,2,Y,Y,FREE U.S. Shipping,Y,2,0,6/4/12,18/05/2014,"Category Name: Apparel, Category Path: Apparel|Category Name: On Sale!, Category Path: On Sale!",http://www.fascatpowermeters.com/product_images/q/962/fascat_bibs_multi_view_2012__72611.jpg,FasCat Cycling Kit Bibs,FasCat Cycling Kit Bibs,FasCat Cycling Kit Bibs,New,/on-sale-fascat-cycling-bibs/,
139,D,level1,FasCat Coaching Level 1,,Level 1 Coaching comes with an Associate Coach and weekly power data review. Coach-Athlete communication one time per month Recommended for the Athlete that is comfortable with having his or her power data reviewed once a week and is comfortable following the training calendar without any revisions. A tell-me-what-to-do-and-I&rsquo;ll-do-it type of athlete. Download our New Athlete Questionnaire to get started!,0,0,,150,0,N,,0,0,0,0,Y,Y,,N,0,0,31/10/2012,7/12/12,"Category Name: Coaching, Category Path: Coaching",http://www.fascatpowermeters.com/product_images/l/587/fascat_coaching_details_2012_3__76399.jpg,,,,New,/fascat-coaching-level-1/,
140,D,level2,FasCat Coaching Level 2,,"Level 2 Coaching includes an Associate Coach and daily power data review.  In-depth daily power data analysis and feedback Advanced training calendar design Extensive Coach-Athlete communication (at least 3-4 times per month) Recommended for the Athlete that wants their power data analyzed with feedback given in real time. In other words, your coach will analyze your Tuesday ride data before your workout Wednesday and give you on-the-fly adjustments and considerations for your Wednesday workout. The Level 2 athlete is good at following the calendar but may need timely revisions from their coach at the last minute due to unexpected schedule or weather changes. Additionally they may have more questions about their calendar and the rationale of the how, what, why & when to discuss with their coach. Download our New Athlete Questionnaire to get started!",0,0,,225,0,N,,0,0,0,0,Y,Y,,N,0,0,31/10/2012,15/11/2012,"Category Name: Coaching, Category Path: Coaching",http://www.fascatpowermeters.com/product_images/w/240/fascat_coaching_details_2012_3__81736.jpg,,,,New,/fascat-coaching-level-2/,
141,D,level3,FasCat Coaching Level 3,,"Level 3 Coaching steps up to a Senior Level Coach who has years of coaching and racing experience to share with the athlete as it relates to their training, racing, goals and power data. Level 3 does not include as much communication as Level 2 but it does come with a Senior Level Coach. In-depth weekly power data analysis and feedback Twice monthly Coach-Athlete communication Advanced training calendar design Pre-race strategy sessions on Fridays and post-race reviews on Monday One Coach-Athlete ride per quarter (if local) Download our New Athlete Questionnaire to get started!",0,0,,300,0,N,,0,0,0,0,Y,Y,,N,0,0,31/10/2012,15/11/2012,"Category Name: Coaching, Category Path: Coaching",http://www.fascatpowermeters.com/product_images/s/588/fascat_coaching_details_2012_3__45101.jpg,,,,New,/fascat-coaching-level-3/,
142,D,level4,FasCat Coaching Level 4,,Level 4 Coaching includes a Senior Level Coach and Daily Power Data Review plus a Weekly phone discussion In-depth daily power data analysis and feedback Weekly Coach-Athlete communication Advanced training calendar design Pre-race strategy sessions on Fridays and post-race reviews on Monday One coach-athlete ride per month (if local) Additional Level 4 benefits include:  Attendance at the annual Boulder Training Camp if you&rsquo;ve been a FasCat Athlete for 6 months or more OR if you&rsquo;ve pre-paid for 6 months or more of Level 4 coaching.  15% OFF Personal Boulder Coaching Weekend Download our New Athlete Questionnaire to get started!,0,0,,450,0,N,,0,0,0,0,Y,Y,,N,0,0,31/10/2012,19/02/2013,"Category Name: Coaching, Category Path: Coaching",http://www.fascatpowermeters.com/product_images/m/712/fascat_coaching_details_2012_3__00162.jpg,,,,New,/fascat-coaching-level-4/,
143,D,level5,FasCat Coaching Level 5,,"Level 5 Coaching is the very best FasCat Coaching has to offer! It is the highest level of service possible with our best coaches.  We will stop at nothing to reach your goals. Level 5 includes everything that Level 4 does but with more one-on-one coaching in the form of more riding & more communication.   FasCat's Level 5 Coaching is limited to a handful of athletes at any one time for superior individual attention. There is always a two-way line of communication open via email, phone, & text messaging.  Weekly Coach-Athlete rides In-depth daily power data analysis and feedback with verbal morning feedback on the phone or in person Daily Coach-Athlete communication Annual attendance at the Boulder Summer Road Camp Physiological Testing, MLSS & F.U.E.L. On-site support at your 1 big race each year Download our New Athlete Questionnaire to get started!",0,0,,600,0,N,,0,0,0,0,Y,Y,,N,0,0,31/10/2012,19/02/2013,"Category Name: Coaching, Category Path: Coaching",http://www.fascatpowermeters.com/product_images/j/633/fascat_coaching_details_2012_3__15318.jpg,,,,New,/fascat-coaching-level-5/,
43,P,14,SRM Cannondale MTB PowerMeter (2x10),SRM,"Tackle the trails with power with SRM's Cannondale MTB Powermeter. The time-tested SRM powermeter is matched to Cannondale's Hollowgram SL crankset for precise power measurement on every ride. Accurate to +/- 1.5%, the SRM MTB powermeter can be paired with your favorite ANT+ bike computer for the ultimate training and racing system.  691g (crankset & BB30 bottom bracket) ",0,0,,1799,0,Y,,3,0,0,0,Y,N,,N,0,0,12/2/12,27/09/2012,"Category Name: SRM, Category Path: SRM|Category Name: Powermeter Cranksets, Category Path: Powermeter Cranksets|Category Name: Mountain Bike Powermeters, Category Path: Mountain Bike Powermeters",http://www.fascatpowermeters.com/product_images/t/013/srm_powermeter_decals__09674.jpg,SRM Cannondale MTB PowerMeter (2x10) for Mountain Bikes,"SRM Cannondale MTB PowerMeter, Mountain Bike powermeter",SRM Cannondale MTB PowerMeter (2x10) for Mountain Bikes,New,/srm-cannondale-mtb-powermeter-2x10/,
44,P,15,SRM Cannondale MTB PowerMeter (Triple),SRM,"Tackle the trails with power with SRM's Cannondale MTB Powermeter. The time-tested SRM powermeter is matched to Cannondale's Hollowgram SL crankset for precise power measurement on every ride. Accurate to +/- 1.5%, the SRM MTB powermeter can be paired with your favorite ANT+ bike computer for the ultimate training and racing system.  Weight: 707g (crankset and BB30 bottom bracket) ",0,0,,1799,0,Y,,3,0,0,0,Y,N,,N,0,0,12/2/12,27/09/2012,"Category Name: Mountain Bike Powermeters, Category Path: Mountain Bike Powermeters",http://www.fascatpowermeters.com/product_images/h/376/srm_powermeter_decals__93247.jpg,,,,New,/srm-cannondale-mtb-powermeter-triple/,
